Lake,Town,Observer,Date,Start,Stop,Adult,Chick,SubAdult,Survey,Comment
Amherst (Plymouth),Plymouth,,7/20/2013,,,0,0,0,1,
Baker (Barton),Barton,,7/20/2013,,,2,0,,1,
Bald Hill,Westmore,,7/20/2013,,,3,0,0,1,flying during the hour
Bean (Sutton),Sutton,,7/20/2013,,,2,2,0,1,
Beaver,Holland,Chris Owen,7/20/2013,,,2,0,0,1,Chris owen; incubating
Beebe (Hub),Hubbardton,Eric,7/19/2013,,,0,0,0,1,eric 7/19
Beebe (Sund),Sunderland,,7/20/2013,,,0,0,0,1,
Berlin,Berlin,,7/20/2013,,,1,1,0,1,
Bliss,Calais,,7/20/2013,,,1,0,0,1,
Bomoseen,Castleton,,7/19/2013,,,0,0,0,1,wavy 7/19
Bourn,Sunderland,,7/20/2013,,,2,2,0,1,
Branch,Sunderland,,7/20/2013,,,1,0,0,1,
Brownington,Brownington,,7/20/2013,,,2,2,0,1,
Bruce,Sutton,,7/20/2013,,,1,0,0,1,keep jeff rand on list
Buck,Woodbury,,7/20/2013,,,0,0,0,1,19-Jul
Burr,Sudbury,,7/20/2013,,,0,0,0,1,
Carmi,Franklin,,7/20/2013,,,1,0,0,1,
Caspian,Greensboro,,7/20/2013,,,3,0,0,1,
Center,Newark,,7/21/2013,,,1,0,0,1,7/21 survey
Chandler,Wheelock,,7/20/2013,,,3,0,0,1,
Charleston (Charleston),Charleston,,7/20/2013,19:00,,0,0,0,1,"sat. 7 pm, Friday pm 3ad terry"
Chittenden,Chittenden,,7/20/2013,,,2,2,0,1,
Clarks (Tildys),Glover,,7/20/2013,,,2,0,0,1,
Clyde,Derby,,7/20/2013,,,1,0,0,1,
Coits,Cabot,,7/20/2013,,,2,2,0,1,incubating
Cole,Jamaica,,7/20/2013,,,0,0,0,1,16-Jul
Coles,Walden,,7/20/2013,,,3,0,0,1,
Collins,Hyde Park,,7/20/2013,,,0,0,0,1,
Cranberry Meadow,Woodbury,,7/20/2013,,,0,0,0,1,
Crystal,Barton,Ellen,7/20/2013,5:30,,2,0,0,1,"ellen 5:30 am, stan did survey- results?"
Curtis,Calais,,7/20/2013,,,0,0,0,1,
Daniels Pond,Glover,,7/20/2013,,,2,0,0,1,
Derby,Derby,,7/20/2013,,,5,0,0,1,
Dog (Valley),Woodbury,,7/20/2013,,,2,0,0,1,
Dunmore,Salisbury,,7/20/2013,,,3,0,0,1,1 ad flying 30 min after obs. 2A
East Long,Woodbury,,7/20/2013,,,2,1,0,1,
Echo (Charleston),Charleston,,7/20/2013,,,3,0,0,1,
Echo (Hub),Hubbardton,,7/20/2013,,,0,0,0,1,
Echo (Plymouth),Plymouth,,7/20/2013,,,0,0,0,1,
Eden,Eden,,7/20/2013,,,3,0,0,1,
Elligo,Greensboro,,7/20/2013,,,3,1,0,1,
Elmore,Elmore,,7/20/2013,,,3,1,0,1,
Ewell,Peacham,,7/20/2013,,,2,2,0,1,
Fairfield,Fairfield,,7/20/2013,,,0,0,0,1,
Fairlee,Fairlee,,7/20/2013,,,3,0,0,1,
Fern,Leicester,,7/20/2013,,,0,0,0,1,
Flagg,Wheelock,,7/20/2013,,,2,2,0,1,
Forest,Averill,,7/20/2013,,,2,1,0,1,
Fosters,Peacham,,7/20/2013,,,2,1,0,1,
Gale Meadows,Londonderry,,7/20/2013,,,0,0,0,1,
Glen,Fair Haven,,7/20/2013,,,0,0,0,1,
Great Averill,Averill,,7/20/2013,,,6,2,0,1,
Great Hosmer,Craftsbury,,7/20/2013,,,2,2,0,1,
Green River,Hyde Park,,7/20/2013,,,11,1,0,1,
Greenwood,Woodbury,Sarah Hingston,7/20/2013,,,2,1,0,1,sarah hingston 2a 1 c
Groton,Groton,,7/20/2013,,,7,0,0,1,1
Grout,Stratton,Frank Thompson,7/20/2013,,,0,0,0,1,Frank thompson
Halls,Newbury,,7/20/2013,,,2,0,0,1,
Hardwick,Hardwick,,7/20/2013,,,2,2,0,1,keep sheila lapoing on list
Hardwood,Elmore,,7/20/2013,,,0,0,0,1,7/21 2 ad 3 pm
