Lake,Town,Observer,Date,Start,Stop,Adult,Chick,SubAdult,Survey,Comment
Harriman,Whitingham,Henry,7/19/2013,,,1,0,0,1,Friday henry; 7/21 0 ruth stewart partial survey
Hartwell,Albany,Amelia Fritze,7/20/2013,,,1,0,0,1,Amelia fritze
Harveys,Barnet,,7/20/2013,,,2,1,1,1,
Holland,Holland,Chris Owen,7/20/2013,,,4,0,0,1,4 ad chris owen; 6 ad listed by Lauren - not sure source; change back to 6 if locate
Hortonia,Hubbardton,,7/20/2013,,,0,0,0,1,
Howe,Readsboro,,7/21/2013,,,0,0,0,1,Sunday
Iroquois,Hinesburg,,7/21/2013,8:00,,0,0,0,1,8 am 7/21 Sunday
Island,Brighton,Marshall,7/20/2013,,,8,1,0,1,marshall
Jobs,Westmore,,7/20/2013,,,1,0,0,1,
Joe's,Danville,,7/20/2013,,,4,3,0,1,
Keiser,Danville,,7/20/2013,,,2,0,0,1,
Kent,Killington,,7/20/2013,,,2,1,0,1,
Kettle,Peacham,Cindy Grimes,7/20/2013,,,2,1,0,1,cindy grimes
Lamoille,Hyde Park,,7/20/2013,,,0,0,0,1,
Lewis,Lewis,Marshall,7/20/2013,,,2,0,0,1,Marshall; 1 ad Friday rachel
Lily,Poultney,,7/20/2013,,,0,0,0,1,
Little (Wells),Wells,,7/20/2013,,,0,0,0,1,
Little Averill,Averill,,7/20/2013,,,9,0,0,1,
Little Hosmer,Craftsbury,Tom Wells|Linda Wells,7/20/2013,,,1,0,0,1,tom and linda wells surveyed; cannot find data sheet
Little Salem,Derby,Eric,7/20/2013,12:00,,0,0,0,1,eric 12 pm
Long (Eden),Eden,Phyllis,7/20/2013,,,2,2,0,1,1 phyllis
Long (Sheffield),Sheffield,,7/20/2013,,,0,0,0,1,
Lowell,Londonderry,,7/20/2013,,,1,0,0,1,
Lower Symes,Ryegate,,7/20/2013,,,2,1,0,1,1 flyover
Lyford,Walden,,7/20/2013,,,2,1,0,1,
Maidstone,Maidstone,,7/20/2013,,,5,0,0,1,
Marshfield Pond (Turtlehead Pond),Marshfield,,7/20/2013,,,0,0,0,1,
Martin's,Peacham,,7/20/2013,,,4,2,0,1,
May,Barton,,7/20/2013,,,2,0,0,1,
McConnell,Brighton,,7/20/2013,,,2,0,0,1,
Memphremagog,Derby,,7/22/2013,,,3,0,1,1,7/22 1st calm water since 7/20
Metcalf,Fletcher,,7/20/2013,,,2,2,0,1,
Miles,Concord,,7/20/2013,,,5,0,0,1,
Miller,Strafford,,7/20/2013,,,2,0,0,1,chick?
Mollys,Cabot,,7/20/2013,,,0,0,0,1,
Mollys Falls,Marshfield,,7/20/2013,,,5,1,0,1,"Rollin 2A 1C, rick scholes 5A 1ch"
Monkton (Cedar),Monkton,Eric,7/19/2013,,,0,0,0,1,eric 7/19
Moore,Waterford,,7/20/2013,,,3,0,0,1,
Morey,Fairlee,,7/20/2013,,,1,0,1,1,"3-7 usual, one day 9"
Moses,Weston,,7/20/2013,,,0,0,0,1,
Mud (Hyde Park),Hyde Park,Lauren,7/20/2013,,,0,0,0,1,Lauren obs
Mud (Leicester),Leicester,,7/20/2013,,,0,0,0,1,
Mud (Morgan),Morgan,,7/20/2013,,,0,0,0,1,
Mud (Peacham),Peacham,,7/20/2013,,,1,0,0,1,
Neal,Lunenberg,,7/20/2013,,,2,0,0,1,
Nelson,Woodbury,,7/20/2013,,,0,0,0,1,
Newark,Newark,,7/20/2013,,,2,2,0,1,
Nichols,Woodbury,,7/20/2013,,,2,2,0,1,
No. 10 (Mirror),Calais,,7/20/2013,,,1,2,0,1,
Norford,Thetford,,7/20/2013,,,1,0,0,1,
North Springfield,Springfield,,7/20/2013,,,0,0,0,1,
Norton,Norton,,7/20/2013,,,11,4,0,1,1 ad south end incubating
Notch,Ferdinand,,7/20/2013,,,0,0,0,1,
Noyes,Groton,,7/20/2013,,,1,0,0,1,
Nulhegan,Brighton,,7/20/2013,,,0,0,0,1,
Osmore,Groton,,7/20/2013,,,2,0,0,1,
Parker,Glover,,7/20/2013,,,1,0,0,1,
Peacham,Peacham,,7/20/2013,,,14,0,0,1,
Pensioner,Charleston,,7/20/2013,,,2,1,0,1,
Pleiad,Hancock,,7/20/2013,,,0,0,0,1,
Raponda,Wilmington,,7/20/2013,,,0,0,0,1,no sightings for a month
Rescue,Ludlow,,7/20/2013,,,0,0,0,1,
Ricker,Groton,,7/20/2013,,,3,0,0,1,chicks missing
Round (Holland),Holland,,7/20/2013,,,0,0,0,1,
Sadawga,Whitingham,,7/20/2013,,,0,0,0,1,
Searsburg,Searsburg,,7/20/2013,,,0,0,0,1,
Seymour,Morgan,,7/20/2013,,,10,0,0,1,
Shadow (Concord),Concord,Kane-Rohloff,7/20/2013,,,3,1,0,1,"2a 1 ch Kane-Rohloff, 1 ad loretta"
Shadow (Glover),Glover,,7/20/2013,,,0,0,0,1,
Silver (Leicester),Leicester,,7/20/2013,,,0,0,0,1,
Sodom,Calais,,7/20/2013,,,0,0,0,1,
Somerset,Somerset,,7/20/2013,,,8,2,0,1,
South (Eden),Eden,,7/20/2013,,,2,0,0,1,
South (Marlboro),Marlboro,,7/20/2013,,,3,0,0,1,
South America,Ferdinand,,7/20/2013,,,0,0,0,1,
South Bay,Newport City,,7/20/2013,,,0,0,0,1,
Spectacle,Brighton,,7/20/2013,,,4,0,0,1,
Spring,Shrewsbury,Eric,7/19/2013,,,1,0,0,1,7/19 eric
St. Catherine,Wells,Jean Roberts,7/20/2013,,,0,0,0,1,jean roberts
Star,Mount Holly,,7/20/2013,,,0,0,0,1,mid a.m.
Stiles,Waterford,Lauren,7/20/2013,,,3,0,0,1,Lauren obs.; 0 kane-rohloff
Sugar Hill Res.,Goshen,,7/20/2013,,,0,0,0,1,
Sunset (Benson),Benson,,7/20/2013,,,0,0,0,1,
Sunset (Marlboro),Marlboro,,7/20/2013,,,1,0,0,1,
Thurman Dix,Orange,,7/20/2013,,,2,2,0,1,
Ticklenaked,Ryegate,,7/20/2013,,,1,0,0,1,
Toad,Charleston,Chris Owen,7/20/2013,,,2,0,0,1,chris owen
Upper Symes,Ryegate,,7/20/2013,,,0,0,0,1,
Wallace,Canaan,,7/20/2013,,,3,0,0,1,
Wallingford,Wallingford,,7/20/2013,,,1,2,0,1,windy
Wantastiquet,Weston,,7/20/2013,,,2,2,0,1,"bob tucker did survey, not marie haskins"
Wapanacki,Hardwick,Bob Tucker,7/20/2013,,,0,0,0,1,
Warden,Barnet,,7/20/2013,,,1,0,0,1,
Waterbury - South end,Waterbury,,7/20/2013,,,2,0,0,1,east arm and south
West Hill,Cabot,,7/20/2013,,,1,0,0,1,
West Mountain,Maidstone,,7/20/2013,,,3,0,0,1,
Wheeler,Brunswick,,7/20/2013,,,0,0,0,1,
Willoughby,Westmore,,7/20/2013,,,6,0,0,1,10 Ad on Friday
Wolcott,Wolcott,,7/20/2013,,,2,0,0,1,
Woodbury,Woodbury,,7/20/2013,,,2,2,0,1,
Woodward,Plymouth,,7/20/2013,,,2,1,0,1,1
Zack Woods,Hyde Park,,7/20/2013,,,3,2,0,1,
