lake,territory,town,method,lookFor,priority
Sunset (Benson),,Benson,boat/shore,pair activity,1
Sunset (Marlboro),,Marlboro,boat/shore,territory status,1
Thurman Dix,,Orange,shore,territory status,1
Ticklenaked,,Ryegate,shore/boat,territory status,1
Tiny,,Plymouth,hike,loon activity,3
Turtle ,,Holland,boat/shore,territory status,1
Upper Symes,,Ryegate,boat,loon activity,3
Wallace,,Canaan,boat/shore,pair activity,2
Wallingford,,Wallingford,hike,territory status,1
Waterbury Res,North,Waterbury,boat,territory status,1
Waterbury Res,South,Waterbury,boat,pair activity,1
West Hill,,Cabot,shore/boat,loon activity,1
West Mountain,,Maidstone,hike,territory status,1
Wheeler,,Brunswick,shore,loon activity,3
Willoughby,,Westmore,boat/shore,pair activity,2
Winona (Bristol),,Bristol,boat,loon activity,3
Wolcott,,Wolcott,boat,territory status,1
Woodbury,,Woodbury,boat,territory status,1
Wrightsville,,Worcester,shore/boat,loon activity,3
Zack Woods,,Hyde Park,shore/boat,territory status,1
