Lake,Town,Observer,Date,Start,Stop,Ad,Ch,SA,Survey,Com
Neal,Lunenberg,,7/20/2019,,,2,,,1,
Nelson,Woodbury,,7/20/2019,,,2,,,1,3rd flew over 
Newark,Newark,,7/20/2019,,,2,2,,1,
Nichols,Woodbury,,7/20/2019,,,2,2,,1,
Ninevah,Mt. Holly,,7/20/2019,,,3,2,,1,
No. 10 (Mirror),Calais,,7/20/2019,,,6,2,,1,
Norton,Norton,,7/20/2019,,,11,4,,1,
Notch,Ferdinand,,7/20/2019,,,0,,,1,
Noyes,Groton,,7/20/2019,,,2,,,1,
Nulhegan,Brighton,,7/20/2019,,,0,,,1,
Old Marsh,Fair Haven,,7/20/2019,,,0,,,1,
Osmore,Groton,,7/20/2019,,,2,2,,1,
Parker,Glover,,7/20/2019,,,3,,,1,
Peacham,Peacham,,7/20/2019,,,9,1,,1,
Pensioner,Charleston,,7/20/2019,,,2,,,1,
Perch (Benson),Benson,,7/20/2019,,,0,,,1,
Pigeon,Groton,,7/20/2019,,,2,,,1,
Raponda,Wilmington,,7/20/2019,,,0,,,1,
Rescue,Ludlow,,7/20/2019,,,1,,,1,possible 2nd Adult
Ricker,Groton,,7/20/2019,,,2,1,,1,
Rood,Williamstown,,7/20/2019,,,0,,,1,
Round (Holland),Holland,,7/20/2019,,,0,,,1,
Round (Sheffield),Sheffield,,7/20/2019,,,2,,,1,
Runnemede,Windsor,,7/20/2019,,,0,,,1,
Sadawga,Whitingham,,7/21/2019,,,0,,,1,7/21 survey
Salem,Derby,,7/20/2019,,,0,,,1,1 Adult flew over 7:00 am
Searsburg,Searsburg,,7/20/2019,,,1,,,1,
Seymour,Morgan,,7/20/2019,,,7,,,1,
Shadow (Concord),Concord,,7/20/2019,,,3,2,,1,
Shadow (Glover),Glover,,7/20/2019,,,2,,,1,
Shelburne,Shelburne,,7/20/2019,,,0,,,1,
Sherman Reservoir,Whitingham,,7/20/2019,,,0,,,1,
Silver (barnard),Barnard,,7/20/2019,,,1,,,1,
Silver (Leicester),Leicester,,7/20/2019,,,2,1,,1,
Sodom,Calais,,7/20/2019,,,0,,,1,
Somerset,Somerset,,7/20/2019,,,6,1,,1,
South (Eden),Eden,,7/20/2019,,,2,,,1,
South (Marlboro),Marlboro,,7/20/2019,,,2,,,1,
South America,Ferdinand,,7/20/2019,,,0,,,1,
South Bay,Newport City,,7/20/2019,,,0,,,1,
Spectacle,Brighton,,7/20/2019,,,1,1,,1,
Spring,Shrewsbury,,7/20/2019,,,2,2,,1,
St. Catherine,Wells,,7/20/2019,,,0,,,1,
Stiles,Waterford,,7/20/2019,,,2,,,1,
Stoughton,Weathersfield,,7/20/2019,,,0,,,1,
Stratton,Stratton,,7/21/2019,,,2,,,1,7/21 survey
Sugar Hill Res.,Goshen,,7/20/2019,,,2,1,,1,
Sunrise (Benson),Benson,,7/20/2019,,,0,,,1,
Sunset (Benson),Benson,,7/20/2019,,,0,,,1,
Sunset (Marlboro),Marlboro,,7/20/2019,,,2,,,1,
Thurman Dix,Orange,,7/20/2019,,,2,1,,1,
Ticklenaked,Ryegate,,7/20/2019,,,2,1,,1,
Turtle,Holland,,7/20/2019,,,0,,,1,
Upper Symes,Ryegate,,7/20/2019,,,0,,,1,
Wallingford,Wallingford,,7/20/2019,,,1,2,,1,
Wantastiquet,Weston,,7/20/2019,,,2,1,,1,
Wapanacki,Hardwick,,7/20/2019,,,1,,,1,
Warden,Barnet,,7/20/2019,,,2,,,1,
Waterbury - South end,Waterbury,,7/20/2019,,,2,,,1,
West Hill,Cabot,,7/20/2019,,,0,,,1,
West Mountain,Maidstone,,7/20/2019,,,0,,,1,
Wheeler,Brunswick,,7/20/2019,,,1,,,1,
Willoughby,Westmore,,7/20/2019,,,8,,,1,
Wolcott,Wolcott,,7/20/2019,,,2,,,1,
Woodbury,Woodbury,,7/20/2019,,,2,1,,1,
Woodward,Plymouth,,7/20/2019,,,2,,,1,
Wrightsville,Worcester,,7/20/2019,,,0,,,1,
Zack Woods,Hyde Park,,7/20/2019,,,2,2,,1,
