Lake,Town,Observer,Date,Start,Stop,Adult,Chick,SubAdult,Survey,Comment
Silver (Leicester),Leicester,,7/16/2011,,,0,0,,1,
Sodom,Calais,,7/16/2011,,,0,0,,1,
Somerset,Somerset,,7/16/2011,,,7,0,,1,
South (Eden),Eden,,7/16/2011,,,2,0,,1,
South Bay,Newport City,,7/16/2011,,,0,0,,1,
Spectacle,Brighton,,7/16/2011,,,1,1,,1,
Spring,Shrewsbury,,7/16/2011,,,2,1,,1,
St. Catherine,Wells,,7/16/2011,,,0,0,,1,
Sugar Hill Res.,Goshen,,7/16/2011,,,0,0,,1,
Sunset (Marlboro),Marlboro,,7/16/2011,,,3,0,,1,
Thurman Dix,Orange,,7/16/2011,,,4,0,,1,
Ticklenaked,Ryegate,,7/16/2011,,,0,0,,1,possibly 3 ad only
Toad,Charleston,,7/16/2011,,,0,0,,1,
Turtle,Holland,,7/16/2011,,,0,0,,1,
Wallace,Canaan,,7/16/2011,,,4,0,,1,
Wallingford,Wallingford,,7/16/2011,,,2,1,,1,
Wapanacki,Hardwick,,7/16/2011,,,2,0,,1,
Warden,Barnet,,7/16/2011,,,0,0,,1,
Waterbury - South end,Waterbury,,7/16/2011,,,0,,,1,
West Mountain,Maidstone,,7/16/2011,,,1,1,,1,
Wheeler,Brunswick,,7/16/2011,,,0,0,,1,
Willoughby,Westmore,,7/16/2011,,,11,0,,1,
Wolcott,Wolcott,,7/16/2011,,,2,1,,1,
Woodbury,Woodbury,,7/16/2011,,,2,1,,1,
Woodward,Plymouth,,7/15/2011,,,2,1,,1,Friday obs.
Wrightsville,Worcester,,7/16/2011,,,0,0,,1,
Zack Woods,Hyde Park,,7/16/2011,,,1,1,,1,
