Lake,Town,Observer,Date,Start,Stop,Adult,Chick,SubAdult,Survey,Comment
Amherst (Plymouth),Plymouth,,7/16/2011,,,1,0,,1,
Baker (Barton),Barton,,7/16/2011,,,2,0,,1,nesting
Bald Hill,Westmore,,7/16/2011,,,2,0,0,1,
Bean (Sutton),Sutton,,7/15/2011,,,2,2,,1,Friday pm
Beaver,Holland,,7/16/2011,,,2,0,,1,
Beebe (Hub),Hubbardton,,7/16/2011,,,,,,1,
Beebe (Sund),Sunderland,Henry,7/16/2011,15:00,,0,0,,1,henry 3 pm
Berlin,Berlin,,7/16/2011,,,3,0,,1,
Blake,Sheffield,,7/16/2011,,,0,0,,1,
Bliss,Calais,,7/16/2011,,,0,0,,1,
Bomoseen,Castleton,,7/16/2011,,,0,0,2,1,
Bourn,Sunderland,,7/16/2011,15:00,,2,1,0,1,3pm
Branch,Sunderland,,7/16/2011,,,1,0,0,1,
Bristol (Winona),Bristol,,7/16/2011,,,0,0,0,1,
Brownington,Brownington,,7/16/2011,,,4,0,,1,
Bruce,Sutton,,7/16/2011,,,2,0,,1,1 ad flew off 8am (to Tildy?); 2 eggs in nest
Buck,Woodbury,,7/16/2011,,,2,0,1,1,1 ad flew time??
Burr,Sudbury,,7/16/2011,,,1,0,,1,
Carmi,Franklin,,7/16/2011,,,2,0,,1,
Caspian,Greensboro,Beth,7/16/2011,,,0,0,,1,1 at 11 am Beth
Center,Newark,,7/16/2011,,,3,0,,1,
Chandler,Wheelock,,7/16/2011,,,2,1,,1,
Chittenden,Chittenden,,7/16/2011,,,3,1,,1,
Clarks (Tildys),Glover,,7/16/2011,,,0,0,,1,1 ad 10 am might have flown in from Bruce so not counted.
Clyde,Derby,,7/16/2011,,,0,0,,1,
Coits,Cabot,,7/16/2011,,,0,0,,1,
Colchester,Colchester,,7/16/2011,,,0,0,,1,
Coles,Walden,,7/16/2011,,,2,0,,1,
Collins,Hyde Park,,7/16/2011,,,0,0,,1,1 ad flew in 4 pm
Crystal,Barton,Connie Barton,7/16/2011,,,0,0,,1,0 Connie Barton
Curtis,Calais,Peg Chaffee,7/16/2011,,,1,0,,1,Peg Chaffee???? Contact
Daniels - West (Rodgers),Glover,,7/16/2011,,,0,0,,1,
Daniels Pond,Glover,,7/16/2011,,,2,1,,1,
Derby,Derby,,7/16/2011,,,1,1,,1,
Dog (Valley),Woodbury,,7/16/2011,,,0,0,,1,
Duck (Craftsbury),Craftsbury,,7/16/2011,,,0,0,,1,
Dunmore,Salisbury,,7/16/2011,,,0,0,,1,
East Long,Woodbury,,7/16/2011,,,2,1,,1,
Echo (Charleston),Charleston,,7/16/2011,,,0,0,2,1,lost pair?
Echo (Plymouth),Plymouth,,7/16/2011,,,0,0,,1,
Eden,Eden,,7/16/2011,,,2,0,,1,"3rd loon flying 9:35, 2 ad obs 8:50"
Elmore,Elmore,,7/16/2011,,,1,0,,1,
Emerald,Dorset,,7/16/2011,,,0,0,,1,no loons obs by park ranger
Ewell,Peacham,Jim Wilson,7/16/2011,,,2,0,,1,Jim Wilson obs 3 ad time? Roosa's retired? Or 2012
Fairfield,Fairfield,,7/16/2011,,,0,0,,1,40748
Fairlee,Fairlee,,7/16/2011,,,1,0,,1,heard another one; not there on return trip
Fern,Leicester,,7/16/2011,,,0,0,,1,
Flagg,Wheelock,,7/16/2011,,,1,1,,1,
Forest,Averill,,7/16/2011,,,2,2,,1,
Fosters,Peacham,,7/16/2011,,,2,1,,1,
Gale Meadows,Londonderry,,7/16/2011,,,0,0,,1,
Great Averill,Averill,,7/16/2011,,,5,0,,1,Possibly 2 double counted (tally as 5 not 7); no chick obs.w/ inlet pair
Great Hosmer,Craftsbury,,7/16/2011,,,3,1,,1,
Green River,Hyde Park,,7/16/2011,,,9,2,,1,likely missed 1 chick
Greenwood,Woodbury,,7/16/2011,,,2,0,,1,
Groton,Groton,,7/16/2011,,,4,3,,1,
Grout,Stratton,Henry,7/16/2011,17:50,,1,0,,1,1 ad 5:50 pm henry; 1 ad 7:15 am vycc
Halls,Newbury,,7/16/2011,,,1,0,,1,
Hardwick,Hardwick,,7/16/2011,,,0,2,,1,
Hardwood,Elmore,,7/16/2011,,,1,0,,1,
Harriman,Whitingham,,7/16/2011,,,1,0,1,1,
Hartwell,Albany,,7/16/2011,,,0,0,,1,2nd hand report
Harveys,Barnet,,7/16/2011,,,3,1,,1,513 shoreline road
Holland,Holland,,7/16/2011,,,6,0,,1,
Hortonia,Hubbardton,,7/16/2011,,,2,0,,1,
Indian Brook,Essex,,7/16/2011,,,0,0,,1,
Inman,Fair Haven,,7/16/2011,,,0,0,,1,
Island,Brighton,,7/16/2011,,,7,0,,1,
Jobs,Westmore,,7/16/2011,,,2,0,,1,
Joe's,Danville,,7/16/2011,,,5,2,,1,
Keiser,Danville,,7/16/2011,,,2,1,,1,
Kent,Killington,,7/16/2011,,,2,1,,1,
Kettle,Peacham,,7/16/2011,,,2,0,,1,
Knapp Br1,Cavendish,,7/16/2011,,,0,0,,1,1 ad flyover
Knapp Br2,Cavendish,,7/16/2011,,,1,0,,1,
Lewis,Lewis,,7/16/2011,,,1,0,,1,
Little Averill,Averill,,7/16/2011,,,3,0,,1,
Little Elmore,Elmore,,7/16/2011,,,0,0,,1,
Little Hosmer,Craftsbury,,7/16/2011,,,4,0,,1,1 ad flew over at 9:30 am
Little Salem,Derby,,7/16/2011,,,0,0,,1,
Long (Eden),Eden,,7/16/2011,,,2,0,,1,
Long (Greensboro),Greensboro,,7/16/2011,,,0,0,,1,
Long (Sheffield),Sheffield,,7/16/2011,,,2,0,,1,1 ad flew over
Long (Westmore),Westmore,,7/16/2011,,,2,0,,1,
Lowell,Londonderry,,7/16/2011,,,1,0,,1,
Lower (Hinesburg),Hinesburg,,7/16/2011,,,0,0,,1,
Lower Symes,Ryegate,,7/16/2011,,,5,0,,1,
Lyford,Walden,,7/16/2011,,,2,0,,1,
Maidstone,Maidstone,,7/16/2011,,,5,1,,1,
Marl,Sutton,,7/16/2011,,,0,0,,1,
Marshfield Pond (Turtlehead Pond),Marshfield,,7/16/2011,,,2,0,,1,
Martin's,Peacham,,7/16/2011,,,2,2,,1,1 flew 8:30 ese
May,Barton,,7/16/2011,,,2,0,,1,
McConnell,Brighton,,7/16/2011,,,3,0,,1,
Memphremagog,Derby,,7/16/2011,,,6,0,,1,possibly 4 loons;  2 flew east at 8:45
Metcalf,Fletcher,,7/16/2011,,,0,0,,1,4 ad s and w of islands
Miles,Concord,,7/16/2011,,,2,0,,1,
Mill,Windsor,,7/16/2011,,,0,0,,1,
Miller,Strafford,,7/16/2011,,,2,0,,1,
Mollys,Cabot,,7/16/2011,,,2,0,,1,
Mollys Falls,Marshfield,,7/16/2011,,,2,0,,1,vol documentation
Moore,Waterford,,7/16/2011,,,2,0,,1,
Morey,Fairlee,,7/16/2011,,,4,0,1,1,
Mud (Hyde Park),Hyde Park,,7/16/2011,,,0,0,,1,
Mud (Leicester),Leicester,,7/16/2011,,,0,0,,1,
Mud (Peacham),Peacham,,7/16/2011,,,0,0,,1,
Neal,Lunenberg,,7/16/2011,,,2,0,,1,
Nichols,Woodbury,,7/16/2011,,,3,0,,1,
Ninevah,Mt. Holly,,7/16/2011,,,3,1,,1,
No. 10 (Mirror),Calais,,7/16/2011,,,2,2,,1,chick stashed; killed next day
North Montpelier,East Montpelier,,7/16/2011,,,0,0,,1,
Norton,Norton,,7/16/2011,,,6,0,0,1,
Notch,Ferdinand,,7/16/2011,,,1,0,,1,
Noyes,Groton,,7/16/2011,,,0,0,,1,
Osmore,Groton,,7/16/2011,,,2,2,,1,
Parker,Glover,,7/16/2011,,,2,0,,1,
Peacham,Peacham,,7/16/2011,,,11,3,,1,also 2 ad joan hudson
Pensioner,Charleston,,7/16/2011,,,2,2,,1,possibly 13 ad
Pigeon,Groton,,7/16/2011,,,0,0,,1,check with Jean roberts
Raponda,Wilmington,,7/16/2011,,,0,0,1,1,
Rescue,Ludlow,,7/16/2011,,,0,0,,1,
Ricker,Groton,,7/16/2011,,,3,2,,1,1 ad Friday
Salem,Derby,,7/16/2011,,,4,0,,1,
Searsburg,Searsburg,,7/16/2011,,,1,0,,1,
Seymour,Morgan,,7/16/2011,,,8,0,,1,
Shadow (Concord),Concord,,7/16/2011,,,2,0,,1,Coordinate with Charles Woods 
Shadow (Glover),Glover,,7/16/2011,,,0,0,,1,
Silver (barnard),Barnard,,7/16/2011,,,0,0,,1,
