locationname,locationtown,locationregion,locationarea,waterbodyid,locationtownid,exportname,wbtextid,wbofficialname,wbtownname,wbregion,wbarea,wbbasinarea,wbelevation,wbmaxdepth,wbmeandepth,wboutlettype,wbfullname,wbtype,wbcenterlatitude,wbcenterlongitude,wbgeocentroid,wbgeoborder
Inman,Fair Haven,wc,85,INMAN,144,INMAN,INMAN,Inman Pond,Fair Haven,West Central,85,240,592,80,34,NATURAL with ARTIFICIAL CONTROL,Inman Pond Fair Haven,Lake (Artificial Control),43.65,-73.27,,
Iroquois,Hinesburg,cha-n,243,IROQUOIS,205,IROQUOIS,IROQUOIS,Lake Iroquois,Hinesburg,Champlain ,243,2418,684,37,19,NATURAL with ARTIFICIAL CONTROL,Lake Iroquois Hinesburg,Lake (Artificial Control),44.37,-73.08,,
Island,Brighton,nek,626,ISLAND,29,ISLAND,ISLAND,Island Pond,Brighton,NE Kingdom,626,6295,1172,63,31,NATURAL,Island Pond Brighton,Pond,44.8050491,-71.8706504,,
Jobs,Westmore,nek,39,JOBS,34,JOBS,JOBS,Jobs Pond,Westmore,NE Kingdom,39,268,1950,18,7,NATURAL with ARTIFICIAL CONTROL,Jobs Pond Westmore,Lake (Artificial Control),44.7628276,-71.9537072,,
Joe's,Danville,nc,396,JOES (DANVLL),200,JOES (DANVLL),JOES (DANVLL),Joes Pond,Danville,North Central,396,18445,1551,78,21,NATURAL with ARTIFICIAL CONTROL,Joes Pond Danville,Lake (Artificial Control),44.4083904,-72.1945436,,
Keiser,Danville,nc,33,KEISER,200,KEISER,KEISER,Keiser Pond,Danville,North Central,33,1611,1290,20,6,NATURAL with ARTIFICIAL CONTROL,Keiser Pond Danville,Lake (Artificial Control),44.3864467,-72.1706537,,
Kent,Killington,wc,99,KENT,141,KENT,KENT,Kent Pond,Killington,West Central,99,2376,1525,15,6,ARTIFICIAL,Kent Pond Killington,Reservoir,43.68,-72.8,,
Kettle,Peacham,nc,109,KETTLE,85,KETTLE,KETTLE,Kettle Pond,Groton,North Central,109,834,1443,16,6,NATURAL,Kettle Pond Groton,Pond,44.2947817,-72.3181558,,
Knapp Br1,Cavendish,wc,25,KNAPP BROOK #1,226,KNAPP BROOK #1,KNAPP BROOK #1,Knapp Brook #1,Cavendish,East Central,25,2074,1270,12,6,ARTIFICIAL,Knapp Brook #1 Pond Cavendish,Reservoir,43.447016,-72.5662041,,
Knapp Br2,Cavendish,wc,35,KNAPP BROOK #2,226,KNAPP BROOK #2,KNAPP BROOK #2,Knapp Brook #2,Cavendish,East Central,35,1869,1290,20,9,ARTIFICIAL,Knapp Brook #2 Pond Cavendish,Reservoir,43.45,-72.57,,
Lamoille,Morristown,nc,148,LAMOILLE,65,LAMOILLE,LAMOILLE,Lake Lamoille,Morristown,North Central,148,170146,540,15,5,ARTIFICIAL,Lake Lamoille Morristown,Reservoir,44.57,-72.62,,
Levi,Groton,nc,22,LEVI,95,LEVI,LEVI,Levi Pond,Groton,North Central,22,152,1632,23,8,NATURAL,Levi Pond Groton,Pond,44.2672827,-72.2262078,,
Lewis,Lewis,nek,68,LEWIS,19,LEWIS,LEWIS,Lewis Pond,Lewis,NE Kingdom,68,1254,1830,8,4,NATURAL,Lewis Pond Lewis,Pond,44.8833812,-71.7806495,,
Lily,Poultney,wc,22,LILY (POULTY),220,LILY (POULTY),LILY (POULTY),Lily Pond,Poultney,West Central,22,1288,484,7,4,NATURAL,Lily Pond Poultney,Pond,43.4950694,-73.2073303,,
Little (Franklin),Franklin,cha-n,95,LITTLE (FRANLN),2,LITTLE (FRANLN),LITTLE (FRANLN),Little Pond,Franklin,Champlain ,95,591,673,8,,NATURAL,Little Pond Franklin,Pond,44.9569897,-72.8284682,,
Little (Wells),Wells,wc,177,LITTLE (WELLS),222,LITTLE (WELLS),LITTLE (WELLS),Little Pond,Wells,West Central,162,8989,484,5,4,NATURAL with ARTIFICIAL CONTROL,Little Pond Wells,Lake (Artificial Control),43.4322933,-73.2028855,,
Little Averill,Averill,nek,467,LITTLE AVERILL,8,LITTLE AVERILL,LITTLE AVERILL,Little Averill Pond,Averill,NE Kingdom,467,2854,1740,115,52,NATURAL with ARTIFICIAL CONTROL,Little Averill Pond Averill,Lake (Artificial Control),44.9556024,-71.7162039,,
Little Elmore,Elmore,nc,24,LITTLE ELMORE,70,LITTLE ELMORE,LITTLE ELMORE,Little Elmore Pond,Elmore,North Central,24,316,1223,15,,NATURAL,Little Elmore Pond Elmore,Pond,44.4978315,-72.5317787,,
Little Hosmer,Craftsbury,nc,180,LITTLE HOSMER,50,LITTLE HOSMER,LITTLE HOSMER,Little Hosmer Pond,Craftsbury,North Central,180,1792,1066,9,4,NATURAL with ARTIFICIAL CONTROL,Little Hosmer Pond Craftsbury,Lake (Artificial Control),44.68,-72.38,,
Little Rock,Wallingford,wc,18,LITTLE ROCK,150,LITTLE ROCK,LITTLE ROCK,Little Rock Pond,Wallingford,West Central,18,196,1854,,,NATURAL,Little Rock Pond Wallingford,Pond,43.4006275,-72.9562145,,
Long (Eden),Eden,nc,97,LONG (EDEN),197,LONG (EDEN),LONG (EDEN),Long Pond (Belvidere Pond),Eden,North Central,97,723,1137,6,3,NATURAL,Long Pond Eden,Pond,44.77,-72.6,,
Long (Greensboro),Greensboro,nc,100,LONG (GRNSBO),55,LONG (GRNSBO),LONG (GRNSBO),Long Pond,Greensboro,North Central,100,1910,1590,33,15,NATURAL,Long Pond Greensboro,Pond,44.6256073,-72.263437,,
Long (Sheffield),Sheffield,nc,38,LONG (SHEFLD),52,LONG (SHEFLD),LONG (SHEFLD),Long Pond,Sheffield,North Central,38,204,1682,30,,NATURAL,Long Pond Sheffield,Pond,44.6767178,-72.1437116,,
Long (Westmore),Westmore,nek,90,LONG (WESTMR),34,LONG (WESTMR),LONG (WESTMR),Long Pond,Westmore,NE Kingdom,90,732,1835,74,29,NATURAL,Long Pond Westmore,Pond,44.7506056,-72.0178751,,
Lowell,Londonderry,gm-s,57,LOWELL,162,LOWELL,LOWELL,Lowell Lake,Londonderry,Green Mtn South,109,1313,1330,22,,NATURAL with ARTIFICIAL CONTROL,Lowell Lake Londonderry,Lake (Artificial Control),43.22,-72.77,,
Lower (Hinesburg),Hinesburg,cha-n,57,LOWER,205,LOWER,LOWER,Lower Pond (Lake Sunset),Hinesburg,Champlain ,58,3461,661,10,5,ARTIFICIAL,Lower Pond Hinesburg,Reservoir,44.35,-73.08,,
Lower Symes,Ryegate,nc,77,LOWER SYMES,213,LOWER SYMES,LOWER SYMES,Lower Symes Pond,Ryegate,North Central,57,2636,810,9,,NATURAL,Lower Symes Pond Ryegate,Pond,44.25,-72.1,,
Lyford,Walden,nc,33,LYFORD,72,LYFORD,LYFORD,Lyford Pond,Walden,North Central,33,299,1683,22,8,NATURAL,Lyford Pond Walden,Pond,44.4456114,-72.2467681,,
Maidstone,Maidstone,nek,745,MAIDSTONE,198,MAIDSTONE,MAIDSTONE,Maidstone Lake,Maidstone,NE Kingdom,745,3103,1303,121,46,NATURAL with ARTIFICIAL CONTROL,Maidstone Lake Maidstone,Lake (Artificial Control),44.6486637,-71.6470329,,
Mansfield,Stowe,nc,38,MANSFIELD,69,MANSFIELD,MANSFIELD,Lake Mansfield,Stowe,North Central,38,1557,1140,18,11,ARTIFICIAL,Lake Mansfield Stowe,Reservoir,44.47,-72.82,,
Marl,Sutton,nek,10,MARL,46,MARL,MARL,Marl Pond,Sutton,NE Kingdom,10,256,1570,,,,Marl Pond Sutton,Pond,44.7003288,-72.0600983,,
Martin's,Peacham,nc,82,MARTINS,85,MARTINS,MARTINS,Martins Pond,Peacham,North Central,82,803,1548,17,11,NATURAL with ARTIFICIAL CONTROL,Martins Pond Peacham,Lake (Artificial Control),44.3,-72.22,,
May,Barton,nek,116,MAY,45,MAY,MAY,May Pond,Barton,NE Kingdom,116,1087,1647,31,9,NATURAL with ARTIFICIAL CONTROL,May Pond Barton,Lake (Artificial Control),44.7417164,-72.1228779,,
McConnell,Brighton,nek,87,MCCONNELL,29,MCCONNELL,MCCONNELL,McConnell Pond,Brighton,NE Kingdom,87,3621,1274,18,,NATURAL,McConnell Pond Brighton,Pond,44.8189378,-71.8039827,,
Memphremagog,Derby,nek,5966,MEMPHREMAGOG,230,MEMPHREMAGOG,MEMPHREMAGOG,Lake Memphremagog,Newport Town,NE Kingdom,5966,416320,682,351,21,NATURAL with ARTIFICIAL CONTROL,Lake Memphremagog Newport Town,Lake (Artificial Control),44.9853239,-72.2151023,,
Metcalf,Fletcher,cha-n,81,METCALF,44,METCALF,METCALF,Metcalf Pond,Fletcher,Champlain ,81,801,729,25,7,NATURAL,Metcalf Pond Fletcher,Pond,44.7283824,-72.8840236,,
Miles,Concord,nek,215,MILES,76,MILES,MILES,Miles Pond,Concord,NE Kingdom,215,4158,1026,55,20,NATURAL with ARTIFICIAL CONTROL,Miles Pond Concord,Lake (Artificial Control),44.45,-71.82,,
Mill,Windsor,ec,77,MILL (WINDSR),149,MILL (WINDSR),MILL (WINDSR),Mill Pond (Kennedys Pond),Windsor,East Central,77,28071,383,26,,ARTIFICIAL,Mill Pond Windsor,Reservoir,43.4711828,-72.3967575,,
Miller,Strafford,ec,64,MILLER (STRFRD),129,MILLER (STRFRD),MILLER (STRFRD),Miller Pond,Strafford,East Central,64,664,1323,32,8,NATURAL with ARTIFICIAL CONTROL,Miller Pond Arlington,Pond,43.9,-72.3,,
Minards,Rockingham,ec,46,MINARDS,235,MINARDS,MINARDS,Minards Pond,Rockingham,Green Mtn South,46,202,613,46,,NATURAL with ARTIFICIAL CONTROL,Minards Pond Rockingham,Lake (Artificial Control),43.15,-72.47,,
No. 10 (Mirror),Calais,nc,85,MIRROR,81,MIRROR,MIRROR,Mirror Lake (No. 10 Pond),Calais,North Central,85,3349,1047,106,43,NATURAL with ARTIFICIAL CONTROL,Lake Mirror Calais,Lake (Artificial Control),44.4,-72.45,,
Mitchell,Sharon,ec,28,MITCHELL,135,MITCHELL,MITCHELL,Lake Mitchell,Sharon,East Central,28,4652,900,16,,ARTIFICIAL,Lake Mitchell Sharon,Reservoir,43.75,-72.4,,
Mollys,Cabot,nc,38,MOLLYS,202,MOLLYS,MOLLYS,Mollys Pond,Cabot,North Central,38,1320,1631,28,,NATURAL,Mollys Pond Cabot,Pond,44.3939461,-72.2359332,,
Mollys Falls,Marshfield,nc,397,MOLLYS FALLS,90,MOLLYS FALLS,MOLLYS FALLS,Mollys Falls Reservoir,Cabot,North Central,397,14600,1230,35,18,ARTIFICIAL,Mollys Falls Reservoir Cabot,Reservoir,44.35,-72.28,,
Moore,Waterford,nek,1235,MOORE,80,MOORE,MOORE,Moore Reservoir,Waterford,NE Kingdom,1235,293580,800,,,ARTIFICIAL,Moore Reservoir Waterford,Reservoir,44.33,-71.87,,
Morey,Fairlee,ec,547,MOREY,123,MOREY,MOREY,Lake Morey,Fairlee,East Central,547,5101,416,43,24,NATURAL with ARTIFICIAL CONTROL,Lake Morey Fairlee,Lake (Artificial Control),43.9247901,-72.1498123,,
Moses,Weston,gm-s,12,MOSES,155,MOSES,MOSES,Moses Pond,Weston,West Central,12,105,2230,,,,Moses Pond Weston,Pond,43.33424,-72.8428774,,
Round (Holland),Holland,nek,14,MUD (HOLLND),9,MUD (HOLLND),MUD (HOLLND),Mud Pond,Holland,NE Kingdom,14,359,1510,,,,Mud Pond Holland,Pond,44.9367139,-72.0281531,,
Mud (Hyde Park),Hyde Park,nc,14,MUD (HYDEPK),64,MUD (HYDEPK),MUD (HYDEPK),Mud Pond,Hyde Park,North Central,14,177,1170,,,,Mud Pond Hyde Park,Pond,44.605885,-72.5034444,,
Mud (Leicester),Leicester,wc,35,MUD (LEICTR),242,MUD (LEICTR),MUD (LEICTR),Mud Pond,Leicester,West Central,23,290,569,10,,NATURAL,Mud Pond Leicester,Pond,43.88,-73.08,,
Mud (Morgan),Morgan,nek,35,MUD (MORGAN)-N,18,MUD (MORGAN)-N,MUD (MORGAN)-N,Mud Pond,Morgan,NE Kingdom,35,1205,1489,3,,NATURAL,Mud Pond Morgan ,Pond,44.9172696,-72.0448202,,
Mud (Peacham),Peacham,nc,34,MUD (PEACHM),85,MUD (PEACHM),MUD (PEACHM),Mud Pond,Peacham,North Central,34,318,1548,4,,NATURAL with ARTIFICIAL CONTROL,Mud Pond Peacham,Lake (Artificial Control),44.3072818,-72.2125974,,
Neal,Lunenburg,nek,186,NEAL,73,NEAL,NEAL,Neal Pond,Lunenburg,NE Kingdom,185,5720,1200,35,16,NATURAL with ARTIFICIAL CONTROL,Neal Pond Lunenburg,Lake (Artificial Control),44.4897795,-71.6920327,,
Newark,Newark,nek,153,NEWARK,43,NEWARK,NEWARK,Newark Pond,Newark,NE Kingdom,153,554,1832,31,14,NATURAL,Newark Pond Newark,Pond,44.7175509,-71.9823186,,
Nichols,Woodbury,nc,171,NICHOLS,77,NICHOLS,NICHOLS,Nichols Pond,Woodbury,North Central,171,2920,1128,109,,NATURAL with ARTIFICIAL CONTROL,Nichols Pond Woodbury,Lake (Artificial Control),44.45,-72.35,,
Ninevah,Mt. Holly,wc,171,NINEVAH,151,NINEVAH,NINEVAH,Lake Ninevah,Mount Holly,West Central,171,769,1755,12,6,NATURAL with ARTIFICIAL CONTROL,Lake Ninevah Mount Holly,Lake (Artificial Control),43.47,-72.75,,
Norford,Thetford,ec,21,NORFORD,131,NORFORD,NORFORD,Norford Lake,Thetford,East Central,21,605,985,11,,ARTIFICIAL,Norford Lake Thetford,Reservoir,43.8,-72.3,,
Hartland dam,Hartland,ec,215,NORTH HARTLAND,145,NORTH HARTLAND,NORTH HARTLAND,North Hartland Reservoir,Hartland,East Central,215,140800,425,,,ARTIFICIAL,North Hartland Reservoir Hartland,Reservoir,43.62,-72.37,,
North Montpelier,East Montpelier,nc,72,NORTH MONTPELIER,91,NORTH MONTPELIER,NORTH MONTPELIER,North Montpelier Pond,East Montpelier,North Central,72,32581,703,12,,ARTIFICIAL,North Montpelier Pond East Montpelier,Reservoir,44.32,-72.45,,
North Springfield,Springfield,ec,290,NORTH SPRINGFIELD,157,NORTH SPRINGFIELD,NORTH SPRINGFIELD,North Springfield Reservoir,Springfield,East Central,290,101120,475,,,ARTIFICIAL,North Springfield Reservoir Springfield,Reservoir,43.35,-72.5,,
Norton,Norton,nek,583,NORTON,7,NORTON,NORTON,Norton Pond,Norton,NE Kingdom,583,11142,1335,30,10,NATURAL with ARTIFICIAL CONTROL,Norton Pond Norton,Lake (Artificial Control),44.93,-71.87,,
Notch,Ferdinand,nek,22,NOTCH,35,NOTCH,NOTCH,Notch Pond,Ferdinand,NE Kingdom,22,500,1555,26,,NATURAL,Notch Pond Ferdinand,Pond,44.7406056,-71.7173137,,
Noyes,Groton,nc,39,NOYES,95,NOYES,NOYES,Noyes Pond (Seyon Pond),Groton,North Central,39,2408,1781,11,6,ARTIFICIAL,Noyes Pond Groton,Reservoir,44.23,-72.32,,
Nulhegan,Brighton,nek,37,NULHEGAN,29,NULHEGAN,NULHEGAN,Nulhegan Pond,Brighton,NE Kingdom,37,5421,1158,14,,NATURAL,Nulhegan Pond Brighton,Pond,44.791716,-71.8178717,,
Old Marsh,Fair Haven,wc,131,OLD MARSH,144,OLD MARSH,OLD MARSH,Old Marsh Pond,Fair Haven,West Central,131,1802,484,6,,NATURAL with ARTIFICIAL CONTROL,Old Marsh Pond Fair Haven,Lake (Artificial Control),43.63,-73.27,,
Osmore,Groton,nc,48,OSMORE,95,OSMORE,OSMORE,Osmore Pond,Peacham,North Central,48,778,1470,12,6,NATURAL,Osmore Pond Peacham,Pond,44.3083926,-72.2781547,,
Page,Albany,nc,16,PAGE,39,PAGE,PAGE,Page Pond,Albany,North Central,16,106,1204,,,,Page Pond Albany,Pond,44.7147718,-72.3670515,,
Paran,Bennington,gm-s,40,PARAN,183,PARAN,PARAN,Lake Paran,Bennington,Green Mtn South,40,9312,647,23,11,ARTIFICIAL,Lake Paran Bennington,Reservoir,42.9328561,-73.2337199,,
Parker,Glover,nc,250,PARKER,47,PARKER,PARKER,Lake Parker,Glover,North Central,250,5418,1299,45,25,NATURAL with ARTIFICIAL CONTROL,Lake Parker Glover,Lake (Artificial Control),44.7194941,-72.2328808,,
Peacham,Peacham,nc,340,PEACHAM,85,PEACHAM,PEACHAM,Peacham Pond,Peacham,North Central,340,3750,1401,61,20,NATURAL with ARTIFICIAL CONTROL,Peacham Pond Peacham,Lake (Artificial Control),44.33,-72.27,,
Pensioner,Charleston,nek,173,PENSIONER,24,PENSIONER,PENSIONER,Pensioner Pond,Charleston,NE Kingdom,173,66882,1141,39,15,NATURAL with ARTIFICIAL CONTROL,Pensioner Pond Charleston,Lake (Artificial Control),44.8736591,-72.0573206,,
Perch (Benson),Benson,wc,24,PERCH (BENSON),139,PERCH (BENSON),PERCH (BENSON),Perch Pond,Benson,West Central,24,110,527,44,16,NATURAL with ARTIFICIAL CONTROL,Perch Pond Benson,Lake (Artificial Control),43.7503403,-73.2798365,,
Pigeon,Groton,nc,69,PIGEON,95,PIGEON,PIGEON,Pigeon Pond,Groton,North Central,69,801,1954,21,11,NATURAL,Pigeon Pond Groton,Pond,44.245894,-72.3284329,,
Pinneo,Hartford,ec,50,PINNEO,140,PINNEO,PINNEO,Lake Pinneo,Hartford,East Central,50,150,610,11,,ARTIFICIAL,Lake Pinneo Hartford,Reservoir,43.65,-72.43,,
Pleiad,Hancock,wc,6,PLEIAD,124,PLEIAD,PLEIAD,Pleiad Lake,Hancock,West Central,6,54,2050,,,,Pleiad Lake Hancock,Lake,43.9339521,-72.9578898,,
Raponda,Wilmington,gm-s,121,RAPONDA,186,RAPONDA,RAPONDA,Lake Raponda,Wilmington,Green Mtn South,121,616,1832,12,8,NATURAL with ARTIFICIAL CONTROL,Lake Raponda Wilmington,Lake (Artificial Control),42.8750812,-72.8175965,,
Rescue,Ludlow,wc,180,RESCUE,255,RESCUE,RESCUE,Rescue Lake,Ludlow,Green Mtn South,184,22859,1044,95,24,NATURAL with ARTIFICIAL CONTROL,Rescue Lake Ludlow,Lake (Artificial Control),43.45,-72.7,,
Ricker,Groton,nc,95,RICKER,95,RICKER,RICKER,Ricker Pond,Groton,North Central,95,13622,1051,31,12,NATURAL with ARTIFICIAL CONTROL,Ricker Pond Groton,Lake (Artificial Control),44.2470054,-72.244541,,
Ritterbush,Eden,nc,14,RITTERBUSH,197,RITTERBUSH,RITTERBUSH,Ritterbush Pond,Eden,North Central,14,373,1041,,,,Ritterbush Pond Eden,Pond,44.7469932,-72.5990058,,
Rood,Williamstown,ec,23,ROOD,217,ROOD,ROOD,Rood Pond,Williamstown,East Central,23,343,1306,52,25,NATURAL with ARTIFICIAL CONTROL,Rood Pond Williamstown,Lake (Artificial Control),44.0770076,-72.5889944,,
Round (Newbury),Newbury,nc,30,ROUND (NEWBRY),214,ROUND (NEWBRY),ROUND (NEWBRY),Round Pond,Newbury,East Central,30,260,1241,23,,NATURAL,Round Pond Newbury,Pond,44.1053421,-72.1589818,,
Round (Sheffield),Sheffield,nc,13,ROUND (SHEFLD),52,ROUND (SHEFLD),ROUND (SHEFLD),Round Pond,Sheffield,North Central,13,154,1631,,,,Round Pond Sheffield,Pond,44.6775511,-72.1503784,,
Runnemede,Windsor,ec,62,RUNNEMEDE,149,RUNNEMEDE,RUNNEMEDE,Lake Runnemede (Evarts Pond),Windsor,East Central,62,133,322,13,,ARTIFICIAL,Lake Runnemede Windsor,Reservoir,43.4839605,-72.3892576,,
Sadawga,Whitingham,gm-s,194,SADAWGA,192,SADAWGA,SADAWGA,Sadawga Pond,Whitingham,Green Mtn South,194,1169,1670,10,6,NATURAL with ARTIFICIAL CONTROL,Sadawga Pond Whitingham,Lake (Artificial Control),42.78036,-72.8762088,,
Salem,Derby,nek,764,SALEM,230,SALEM,SALEM,Lake Salem,Derby,NE Kingdom,764,84133,963,70,20,NATURAL,Lake Salem Derby,Lake,44.9292138,-72.1037106,,
Searsburg,Searsburg,gm-s,25,SEARSBURG,185,SEARSBURG,SEARSBURG,Searsbury Reservoir,Searsburg,Green Mtn South,25,98,1756,,,ARTIFICIAL,Searsburg Reservoir Searsburg,Reservoir,42.92,-72.93,,
Seymour,Morgan,nek,1769,SEYMOUR,18,SEYMOUR,SEYMOUR,Seymour Lake,Morgan,NE Kingdom,1769,12920,1279,167,70,NATURAL with ARTIFICIAL CONTROL,Seymour Lake Morgan,Lake (Artificial Control),44.8969923,-71.9817632,,
Shadow (Concord),Concord,nek,128,SHADOW (CONCRD),76,SHADOW (CONCRD),SHADOW (CONCRD),Shadow Lake,Concord,NE Kingdom,128,1649,1336,55,14,NATURAL,Shadow Lake Concord,Lake,44.4003367,-71.8734249,,
Shadow (Glover),Glover,nc,210,SHADOW (GLOVER),47,SHADOW (GLOVER),SHADOW (GLOVER),Shadow Lake,Glover,North Central,210,3575,1396,139,55,NATURAL with ARTIFICIAL CONTROL,Shadow Lake Glover,Lake (Artificial Control),44.668103,-72.226571,,
Shelburne,Shelburne,cha-n,452,SHELBURNE,203,SHELBURNE,SHELBURNE,Shelburne Pond,Shelburne,Champlain ,452,4922,332,25,11,NATURAL,Shelburne Pond Shelburne,Pond,44.3867182,-73.1606809,,
Sherman Reservoir,Whitingham,gm-s,160,SHERMAN,192,SHERMAN,SHERMAN,Sherman Reservoir,Whitingham,Green Mtn South,160,143000,1102,,,ARTIFICIAL,Sherman Reservoir Whitingham,Reservoir,42.73,-72.92,,
Silver (barnard),Barnard,wc,84,SILVER (BARNRD),138,SILVER (BARNRD),SILVER (BARNRD),Silver Lake,Barnard,West Central,84,1091,1307,32,16,NATURAL with ARTIFICIAL CONTROL,Silver Lake Barnard,Lake (Artificial Control),43.7297902,-72.6106541,,
Silver (Leicester),Leicester,wc,101,SILVER (LEICTR),242,SILVER (LEICTR),SILVER (LEICTR),Silver Lake,Leicester,West Central,101,413,1250,70,29,ARTIFICIAL,Silver Lake Leicester,Reservoir,43.88,-73.05,,
Sodom,Calais,nc,21,SODOM,81,SODOM,SODOM,Sodom Pond,East Montpelier,North Central,21,1850,1058,5,,NATURAL,Sodom Pond East Montpelier,Pond,44.3256137,-72.4998296,,
Somerset,Somerset,gm-s,1568,SOMERSET,178,SOMERSET,SOMERSET,Somerset Reservoir,Somerset,Green Mtn South,1568,16313,2134,85,24,ARTIFICIAL,Somerset Reservoir Somerset,Reservoir,43.009708,-72.952621,,
South (Eden),Eden,nc,103,SOUTH (EDEN),197,SOUTH (EDEN),SOUTH (EDEN),South Pond,Eden,North Central,103,1382,1196,66,,NATURAL with ARTIFICIAL CONTROL,South Pond Eden,Lake (Artificial Control),44.68,-72.53,,
South (Marlboro),Marlboro,gm-s,68,SOUTH (MARLBR),187,SOUTH (MARLBR),SOUTH (MARLBR),South Pond,Marlboro,Green Mtn South,68,344,1650,35,15,NATURAL,South Pond Marlboro,Pond,42.8445262,-72.7128712,,
South America,Ferdinand,nek,29,SOUTH AMERICA,35,SOUTH AMERICA,SOUTH AMERICA,South America Pond,Ferdinand,NE Kingdom,29,509,1747,4,,NATURAL,South American Pond Ferdinand,Pond,44.7056067,-71.7431474,,
South Bay,Newport City,nek,470,SOUTH BAY,232,SOUTH BAY,SOUTH BAY,South Bay,Newport City,NE Kingdom,470,,682,,,,South Bay Pond Newport City,Pond,44.93,-72.2,,
Silver (Georgia/Fairfax),Fairfax,cha-n,27,SOUTH ST. ALBANS,42,SOUTH ST. ALBANS,SOUTH ST. ALBANS,"St. Albans Reservoir, South",Fairfax,Champlain ,27,1346,717,23,13,ARTIFICIAL,"St. Albans Reservoir, South Fairfax",Reservoir,44.75,-73.07,,
Spectacle,Brighton,nek,103,SPECTACLE,29,SPECTACLE,SPECTACLE,Spectacle Pond,Brighton,NE Kingdom,103,1024,1173,15,8,NATURAL,Spectacle Pond Brighton,Pond,44.8006048,-71.8503722,,
Spring,Shrewsbury,wc,66,SPRING (SHRWBY),147,SPRING (SHRWBY),SPRING (SHRWBY),Spring Lake (Shrewsbury Pond),Shrewsbury,West Central,66,275,1476,84,35,NATURAL,Spring Lake Shrewsbury,Lake,43.4959033,-72.918992,,
St. Catherine,Wells,wc,883,ST. CATHERINE,222,ST. CATHERINE,ST. CATHERINE,Lake St. Catherine,Wells,West Central,904,7447,484,68,37,NATURAL,Lake St. Catherine Wells,Lake,43.47,-73.22,,
Stannard,Stannard,nc,25,STANNARD,67,STANNARD,STANNARD,Stannard Pond,Stannard,North Central,25,125,2310,11,,NATURAL,Stannard Pond Stannard,Pond,44.5300544,-72.1653782,,
Star,Mount Holly,wc,63,STAR,151,STAR,STAR,Star Lake,Mount Holly,West Central,63,709,1851,8,5,NATURAL with ARTIFICIAL CONTROL,Star Lake Mount Holly,Lake (Artificial Control),43.419516,-72.8162108,,
Stiles,Waterford,nek,135,STILES,80,STILES,STILES,Stiles Pond,Waterford,NE Kingdom,135,3884,877,33,11,NATURAL with ARTIFICIAL CONTROL,Stiles Pond Waterford,Lake (Artificial Control),44.42,-71.93,,
Stoughton,Weathersfield,ec,56,STOUGHTON,228,STOUGHTON,STOUGHTON,Stoughton Pond,Weathersfield,East Central,56,19257,502,20,9,ARTIFICIAL,Stoughton Pond Weathersfield,Reservoir,43.3792397,-72.4998126,,
Stratton,Stratton,gm-s,46,STRATTON,173,STRATTON,STRATTON,Stratton Pond,Stratton,Green Mtn South,46,264,2555,18,,NATURAL,Stratton Pond Stratton,Pond,43.1039661,-72.9698243,,
Sugar Hill Res.,Goshen,wc,63,SUGAR HILL,240,SUGAR HILL,SUGAR HILL,Sugar Hill Reservoir,Goshen,West Central,63,1667,1768,35,22,ARTIFICIAL,Sugar Hill Reservoir Goshen,Reservoir,43.92,-73,,
Sunrise (Benson),Benson,wc,57,SUNRISE,139,SUNRISE,SUNRISE,Sunrise Lake,Benson,West Central,57,1775,496,43,26,NATURAL with ARTIFICIAL CONTROL,Sunrise Lake Benson,Lake (Artificial Control),43.77,-73.27,,
Sunset (Benson),Benson,wc,202,SUNSET (BENSON),139,SUNSET (BENSON),SUNSET (BENSON),Sunset Lake,Benson,West Central,202,1192,497,118,50,NATURAL with ARTIFICIAL CONTROL,Sunset Lake Benson,Lake (Artificial Control),43.7564513,-73.2709476,,
Sunset (Marlboro),Marlboro,gm-s,96,SUNSET (MARLBR),187,SUNSET (MARLBR),SUNSET (MARLBR),Sunset Lake,Marlboro,Green Mtn South,96,507,1370,35,,NATURAL with ARTIFICIAL CONTROL,Sunset Lake Marlboro,Lake (Artificial Control),42.92,-72.68,,
Thurman Dix,Orange,nc,123,THURMAN W. DIX,103,THURMAN W. DIX,THURMAN W. DIX,Thurman W. Dix Reservoir,Orange,North Central,123,5985,1276,24,11,NATURAL with ARTIFICIAL CONTROL,Thurman W. Dix Reservoir Orange,Lake (Artificial Control),44.18,-72.42,,
Ticklenaked,Ryegate,nc,54,TICKLENAKED,213,TICKLENAKED,TICKLENAKED,Ticklenaked Pond,Ryegate,North Central,54,1444,885,51,16,NATURAL with ARTIFICIAL CONTROL,Ticklenaked Pond Ryegate,Lake (Artificial Control),44.1892294,-72.0987041,,
Clarks (Tildys),Glover,nc,33,TILDYS,47,TILDYS,TILDYS,Tildys Pond (Clark Pond),Glover,North Central,33,1078,1233,24,13,NATURAL,Tildys Pond Glover,Pond,44.65,-72.2,,
Tiny,Plymouth,wc,29,TINY,146,TINY,TINY,Tiny Pond,Ludlow,Green Mtn South,29,616,1758,17,,NATURAL,Tiny Pond Ludlow,Pond,43.4603488,-72.724542,,
Toad,Charleston,nek,22,TOAD (CHARTN),24,TOAD (CHARTN),TOAD (CHARTN),Toad Pond,Charleston,NE Kingdom,22,2166,1146,4,,NATURAL,Toad Pond Charleston,Pond,44.8489373,-72.0475981,,
